party,name,riding,twitter_handle
Liberal,Catherine McKenna,Ottawa Centre,cathmckenna
Liberal,Ron McKinnon,Coquitlam–Port Coquitlam,RonMcKinnonLib
Liberal,Michael McLeod,Northwest Territories,MMcLeodNWT
Liberal,Alexandra Mendes,Brossard–Saint-Lambert,AlexandraBrStL
Liberal,Marco Mendicino,Eglinton–Lawrence,marcomendicino
Liberal,Maryann Mihychuk,Kildonan–St. Paul,MPMihychuk
Liberal,Marc Miller,Ville-Marie–Le Sud-Ouest–Île-des-Soeurs,MarcMillerVM
Liberal,Pirie Mitchell,Perth–Wellington,Pirie_Mitchell
Liberal,Maryam Monsef,Peterborough–Kawartha,MaryamMonsef
Liberal,Bill Morneau,Toronto Centre,Bill_Morneau
Liberal,Robert Morrissey,Egmont,MorrisseyEgmont
Liberal,Tracy Muggli,Saskatoon–Grasswood,tracymuggli
Liberal,Mary Ann Murphy,Central Okanagan–Similkameen–Nicola,Murphy4COSN
Liberal,Joyce Murray,Vancouver Quadra,joycemurray
Liberal,Mary Ng,Markham–Thornhill,mary_ng
Liberal,Taleeb Noormohamed,Vancouver Granville,Taleeb
Liberal,Jennifer O'Connell,Pickering–Uxbridge,MPJenOConnell
Liberal,Seamus O'Regan,St. John's South–Mount Pearl,SeamusORegan
Liberal,Rob Oliphant,Don Valley West,Rob_Oliphant
Liberal,Eleanor Olszewski,Edmonton Strathcona,Eleanor4Strath
Liberal,Katie Omstead,Chatham-Kent–Leamington,KatieOmstead
Liberal,Robert-Falcon Ouellette,Winnipeg Centre,DrRobbieO
Liberal,Joe Peschisolido,Steveston–Richmond East,jpeschisolido
Liberal,Ginette Petitpas Taylor,Moncton–Riverview–Dieppe,GinettePT
Liberal,Michel Picard,Montarville,MPicardLiberal
Liberal,Chantal Pilon,Rimouski-Neigette–Témiscouata–Les Basques,
Liberal,Megan Pizzo Lyall,Nunavut,
Liberal,Jonathan Plamondon,La Pointe-de-l'Île,Plamondonj
Liberal,Jean-Claude Poissant,La Prairie,PLCLaPrairieJCP
Liberal,Marcus Powlowski,Thunder Bay–Rainy River,
Liberal,Carla Qualtrough,Delta,CQualtro
Liberal,Yasmin Ratansi,Don Valley East,Yasmin_Ratansi
Liberal,Geoff Regan,Halifax West,geoffregan
Liberal,Valérie Renaud-Martin,Trois-Rivières,ValRenaudMartin
Liberal,Jean Rioux,Saint-Jean,jeanriouxplc
Liberal,Yves Robillard,Marc-Aurèle-Fortin,YRobillardPLC
Liberal,Chris Rodgers,Carleton,VoteChris2019
Liberal,Pablo Rodriguez,Honoré-Mercier,pablorodriguez
Liberal,Churence Rogers,Bonavista–Burin–Trinity,ChurenceRogers
Liberal,Sherry Romanado,Longueuil–Charles-LeMoyne,SherryRomanado
Liberal,Anthony Rota,Nipissing–Timiskaming,AnthonyRota
Liberal,Kim Rudd,Northumberland–Peterborough South,RuddKim
Liberal,Dan Ruimy,Pitt Meadows–Maple Ridge,DanRuimyMP
Liberal,Ruby Sahota,Brampton North,MPRubySahota
Liberal,Raj Saini,Kitchener Centre,RajSainiMP
Liberal,Harjit Sajjan,Vancouver South,HarjitSajjan
Liberal,Darrell Samson,Sackville–Preston–Chezzetcook,darrellsamson
Liberal,Ramesh Sangha,Brampton Centre,sangharamesh
Liberal,Randeep Sarai,Surrey Centre,randeepssarai
Liberal,Dave Savard,Manicouagan,
Liberal,Isabel Sayegh,Montcalm,
Liberal,Francis Scarpaleggia,Lac-Saint-Louis,ScarpaleggiaLSL
Liberal,Peter Schiefke,Vaudreuil–Soulanges,PeterSchiefke
Liberal,Deb Schulte,King–Vaughan,_DebSchulte
Liberal,Peter Schwarzhoff,North Island–Powell River,PeteSchwarzhoff
Liberal,Marc Serré,Nickel Belt,MarcSerreMP
Liberal,Judy Sgro,Humber River–Black Creek,JudySgroMP
Liberal,Brenda Shanahan,Châteauguay–Lacolle,BShanahanLib
Liberal,Terry Sheehan,Sault Ste. Marie,TerrySheehanMP
Liberal,Sonia Sidhu,Brampton South,SoniaLiberal
Liberal,Jati Sidhu,Mission–Matsqui–Fraser Canyon,MPJatiSidhu
Liberal,Maninder Sidhu,Brampton East,MSidhuLiberal
Liberal,Gagan Sikand,Mississauga–Streetsville,gagansikand
Liberal,Scott Simms,Coast of Bays–Central–Notre Dame,Scott_Simms
Liberal,Amarjeet Sohi,Edmonton Mill Woods,SohiAmarjeet
Liberal,Francesco Sorbara,Vaughan–Woodbridge,fsorbara
Liberal,Sven Spengemann,Mississauga–Lakeshore,SvenTrueNorth
Liberal,Jennifer Stebbing,Flamborough–Glanbrook,Jen_Stebbing
Liberal,Jordan Stein,Calgary Confederation,JordanSteinAB
Liberal,Marwan Tabbara,Kitchener South–Hespeler,MarwanTabbaraMP
Liberal,Tamara Taggart,Vancouver Kingsway,tamarataggart
Liberal,Filomena Tassi,Hamilton West–Ancaster–Dundas,FilomenaTassiMP
Liberal,Leah Taylor Roy,Aurora–Oak Ridges–Richmond Hill,
Liberal,Claude Thibault,Abitibi–Témiscamingue,
Liberal,Allan Thompson,Huron–Bruce,ElectAllanT
Liberal,Justin Trudeau,Papineau,JustinTrudeau
Liberal,Karl Trudel,Mirabel,karl_trudel
Liberal,Bruno Uggenti,Hamilton Mountain,BUggenti
Liberal,Tony Van Bynen,Newmarket–Aurora,kylejpeterson
Liberal,Adam van Koeverden,Milton,vankayak
Liberal,Dan Vandal,Saint Boniface–Saint Vital,stbstvdan
Liberal,Anita Vandenbeld,Ottawa West–Nepean,anitavandenbeld
Liberal,Adam Vaughan,Spadina–Fort York,TOAdamVaughan
Liberal,René Vincelette,Saint-Hyacinthe–Bagot,
Liberal,Arif Virani,Parkdale–High Park,viraniarif
Liberal,Ken Werbiski,Portage–Lisgar,
Liberal,Nick Whalen,St. John's East,NickWhalenMP
Liberal,Jonathan Wilkinson,North Vancouver,JonathanWNV
Liberal,Heather Wilson,Algoma–Manitoulin–Kapuskasing,HWilsonAMK
Liberal,Ryan Windsor,Saanich–Gulf Islands,RyanWindsor19
Liberal,Jean Yip,Scarborough–Agincourt,JeanYip3
Liberal,Kate Young,London West,KateYoungMP
Liberal,Salma Zahid,Scarborough Centre,SalmaZahid15
Liberal,Lenore Zann,Cumberland–Colchester,
Green,Abra Brynne,Kootenay—Columbia,
Green,Alessandra Szilagyi,Saint-Léonard—Saint-Michel,
Green,Aline Bégin,Abitibi—Témiscamingue,alinebegin
Green,Amanda Cain,Scarborough Southwest,AskAmandaCain
Green,Amanda Kistindey,Don Valley West,
Green,Amita Kuttner,Burnaby North—Seymour,amitakuttner
Green,André Voyer,Bellechasse—Les Etchemins—Lévis,
Green,Andrea Shalay,Winnipeg Centre,
Green,Angela Keller-Herzog,Ottawa-Centre,akellerherzog
Green,Anna Keenan,Malpeque,annackeenan
Green,Annamie Paul,Toronto Centre,AnnamiePaul
Green,Anthony Edmonds,Sackville—Preston—Chezzetcook,aledmonds
Green,Anthony Li,Lambton—Kent—Middlesex,anthonytonyli
Green,Arthur Green,Chilliwack—Hope,
Green,Austin Mullins,Banff—Airdrie,ausjermullins
Green,Bao Tran Le,Marc-Aurèle-Fortin,
Green,Barbara Joannette,La Prairie,
Green,Barry Randle,Central Nova,
Green,Ben Linnick,Saint-Boniface—Saint-Vital,bennydelnorte
Green,Beverley Eert,Portage—Lisgar,PL_GreenParty
Green,Beverly (Pixie) Hobby,South Surrey—White Rock,
Green,Bill Tiessen,Brandon—Souris,booksguybill
Green,Bob Jonkman,Brantford—Brant,BobJonkmanGPC
Green,Bonnie North,Barrie—Innisfil,BonnieNorthGP
Green,Brad Nickason,Coquitlam—Port Coquitlam,
Green,Brennan Wauters,Burnaby South,brennanwauters
Green,Bridget Burns,Vancouver East,votebridgetb
Green,Brogan Anderson,Kings—Hants,anderson4greens
Green,Brooke Martin,Haldimand—Norfolk,Brookemartin_13
Green,Bryce Watts,Port Moody—Coquitlam,brycemwatts
Green,Byron White,Coast of Bays—Central—Notre Dame,
Green,Cameron Stiff,Vaudreuil—Soulanges,camstiff_vert
Green,Candice Christmas,Kingston and the Islands,
Green,Carol Dyck,London North Centre,CarolDyckGPC
Green,Casandra  Poitras,Longueuil—Saint-Hubert,
Green,Cass Romyn,Sturgeon River—Parkland,ed75green
Green,Catriona Wright,Calgary Rocky Ridge,CatsWright1
Green,Chris Caldwell,Etobicoke—Lakeshore,
Green,Chris Hill,Mississauga—Streetsville,
Green,Chris Tolley,Toronto—Danforth,christolley
Green,Claire Kelly,Moncton—Riverview—Dieppe,clairekellyCAN
Green,Claude Bertrand,Pontiac,BertrandGreen
Green,Clement Badra,Mount Royal,
Green,Collan Simmons,Perth—Wellington,Csimmons21
Green,Conner Borlé,Red Deer—Mountain View,BorleGpc
Green,Craig DeCraene,Delta,decraenepoli
Green,Cynthia Trentelman,Mississauga—Lakeshore,CCTrentelman
Green,Dale Dewar,Regina—Qu'Appelle,daledewar
Green,Dalila  Elhak,Beauport—Limoilou,
Green,Dan Turcotte,Don Valley East,Dan4Greens
Green,Dana Taylor,West Vancouver—Sunshine Coast—Sea to Sky Country,
Green,Daniel Giavedoni,Don Valley North,
Green,Daniel Green,Outremont,DanielGreen_PVC
Green,Danielle Valiquette,Bruce—Grey—Owen Sound,DaniValiquette
Green,Danny Celovsky,Bay of Quinte,
Green,Darcie Lanthier,Charlottetown,DarcieLanthier
Green,Dave Urquhart,Hamilton Mountain,DaveUrquhartGP
Green,David Merner,Esquimalt—Saanich—Sooke,DavidMerner
Green,David Stibbe,Ottawa West—Nepean,
Green,David Turcotte,Bécancour—Nicolet—Saurel,
Green,David Weber,Kitchener South—Hespeler,davidwebergreen
Green,Dean Maher,Spadina—Fort York,
Green,Dennis Drainville,Gaspésie—Les Îles-de-la-Madeleine,
Green,Desmond Bull,Red Deer—Lacombe,
Green,Eleanor Hayward,Milton,eleanorhayward4
Green,Elizabeth  Fraser,Haliburton—Kawartha Lakes—Brock,
